Title,Authors,Date,Abstract,Keywords
Transpulmonary chemoembolization and microwave ablation for recurrent or advanced non-small cell Lung Cancer,"Thomas J. Vogl, Kuei-An Chen, Hao Li, Mohamed E.M. Fouad, Zahra Afraz, Hamzah Adwan",2024-10-26,"To verify the treatment effect of the combination of transpulmonary chemoembolization (TPCE) and microwave ablation (MWA), targeting the treatment of recurrent or advanced non-small cell lung cancer (NSCLC). A total of 53 patients were studied and grouped according to the diameter of the largest pulmonary nodule, defined as index tumor size (ITS). Patients with an ITS > 3 cm (n = 20) were treated with TPCE and MWA. Patients with an ITS ≤ 3 cm were treated either with a combination therapy (n = 24) or MWA alone (n = 9). The treatment response, including complications and survival outcome, was then analyzed. After TPCE, there was an average ITS reduction of 0.91 cm, and 25% of patients in ITS > 3 cm were downgraded to ITS ≤ 3 cm. After TPCE, there were 12 patients (27%) with PR status and 32 (73%) with SD status. No PD patient in our case series was noted before MWA.The complication rate of MWA was significantly higher in ITS ≤ 3 cm than in ITS > 3 cm (p = 0.013). The median survival time (MST) was 26.7 months, and the time to progression was 13.2 months. The patients in the ITS ≤ 3 cm had longer MST than the others (31.6 vs. 15.8 months, p = 0.003). The significant prognostic factor was ITS > 3 cm (HR: 1.18, p = 0.02). A combination of TPCE and MWA might be feasible to control non-operable, recurrent, or advanced NSCLC.","Transpulmonary chemoembolization, Microwave ablation, Non-small cell lung cancer, Interventional radiology"
Camrelizumab plus apatinib for previously treated advanced adrenocortical carcinoma: a single-arm phase 2 trial,"Yu-Chun Zhu, Zhi-Gong Wei, Jing-Jing Wang, Yi-Yan Pei, Jing Jin, Dong Li, Zhi-Hui Li, Zhe-Ran Liu, Yu Min, Rui-Dan Li, Li Yang, Ji-Yan Liu, Qiang Wei, Xing-Chen Peng",2024-11-29,"Adrenocortical carcinoma (ACC) is a rare, aggressive malignancy with a poor prognosis. Therapeutic options for patients with advanced ACC who have failed standard treatments are limited. Single-agent immunotherapy as a second-line treatment has shown unsatisfactory clinical outcomes. This phase II trial (NCT04318730) evaluated the efficacy and safety of the PD-1 inhibitor camrelizumab combined with the VEGFR inhibitor apatinib in previously treated advanced ACC. The primary endpoint was objective response rate (ORR). The secondary endpoints included progression-free survival (PFS), overall survival (OS), and safety. A total of 21 patients with advanced ACC received at least one dose of camrelizumab and apatinib. The ORR was 52% (95% CI, 30−74%), meeting the primary endpoint, and the disease control rate (DCR) was 95% (95% CI, 76−100%). The median PFS was 13.3 months (95% CI, 8.4−NE), and the median OS was 20.9 months (95% CI, 11.0−NE). The most common grade 3−4 treatment-related adverse events were alanine aminotransferase elevation, aspartate aminotransferase elevation, and lymphopenia. Predefined exploratory analyses indicated that patients with higher peripheral blood CXCR3 + CD8 + T cell abundance, lower immunosuppressive CD4 + T cell abundance, and higher overlap of clonotypes between tumor-infiltrating T cells and circulating T cells, were more likely to respond favorably to the combined therapy.",
Single-cell sequencing reveals immune features of treatment response to neoadjuvant immunochemotherapy in esophageal squamous cell carcinoma,"Zhenlin Yang, He Tian, Xiaowei Chen, Bozhao Li, Guangyu Bai, Qingyuan Cai, Jiachen Xu, Wei Guo, Shuaibo Wang, Yue Peng, Qing Liang, Liyan Xue, Shugeng Gao",2024-10-22,"Neoadjuvant immunochemotherapy (nICT) has dramatically changed the treatment landscape of operable esophageal squamous cell carcinoma (ESCC), but factors influencing tumor response to nICT are not well understood. Here, using single-cell RNA sequencing paired with T cell receptor sequencing, we profile tissues from ESCC patients accepting nICT treatment and characterize the tumor microenvironment context. CXCL13+CD8+ Tex cells, a subset of exhausted CD8+ T cells, are revealed to highly infiltrate in pre-treatment tumors and show prominent progenitor exhaustion phenotype in post-treatment samples from responders. We validate CXCL13+CD8+ Tex cells as a predictor of improved response to nICT and reveal CXCL13 to potentiate anti-PD-1 efficacy in vivo. Post-treatment tumors from non-responders are enriched for CXCL13+CD8+ Tex cells with notably remarkable exhaustion phenotype and TNFRSF4+CD4+ Tregs with activated immunosuppressive function and a significant clone expansion. Several critical markers for therapeutic resistance are also identified, including LRRC15+ fibroblasts and SPP1+ macrophages, which may recruit Tregs to form an immunosuppressive landscape. Overall, our findings unravel immune features of distinct therapeutic response to nICT treatment, providing a rationale for optimizing individualized neoadjuvant strategy in ESCC.",
Modified FOLFOXIRI plus cetuximab versus bevacizumab in RAS wild-type metastatic colorectal cancer: a randomized phase II DEEPER trial,"Manabu Shiozawa, Yu Sunakawa, Takanori Watanabe, Hirofumi Ota, Hisateru Yasui, Taichi Yabuno, Mitsuyoshi Tei, Mitsugu Kochi, Dai Manaka, Hisatsugu Ohori, Tatsuro Yamaguchi, Tamotsu Sagawa, Masahito Kotaka, Yutaro Kubota, Takashi Sekikawa, Masato Nakamura, Masahiro Takeuchi, Wataru Ichikawa, Masashi Fujii, Akihito Tsuji",2024-11-25,"The clinical significance of FOLFOXIRI (5-FU, leucovorin, oxaliplatin, and irinotecan) plus anti-EGFR monoclonal antibody using cetuximab for metastatic colorectal cancer (mCRC) remains controversial. We report results from a randomized phase 2 DEEPER trial (UMIN000018217, jRCTs061180022) to test the superiority of modified (m)-FOLFOXIRI plus weekly cetuximab over bevacizumab in patients with RAS wild-type (wt) mCRC. Primary endpoint was depth of response (DpR). Secondary endpoints included objective response rate (ORR), early tumor shrinkage (ETS) at week 8, progression-free survival (PFS), overall survival (OS), time to tumor growth (TTG), time to treatment failure (TTF), association between tumor shrinkage and prognosis, association between TTG and prognosis, R0 resection rate, and safety. In 359 enrolled patients with RAS wt mCRC, median DpR was significantly better in cetuximab (57.3% vs 46.0%, p = 0.0029); however, ORR, ETS, R0 resection rate, TTG, TTF, PFS and OS were similar between 2 treatments. There was a weak association between DpR and survival time in both treatments. The correlation between TTG and OS was slightly stronger in cetuximab. The post-hoc exploratory analysis showed that cetuximab produced greater PFS (15.3 vs 11.7 months; HR 0.68) and OS (53.6 vs 40.2 months; HR 0.54) in patients with left-sided and RAS/BRAF wt tumors. m-FOLFOXIRI plus cetuximab has clinical benefit for tumor shrinkage in RAS wt mCRC. The survival benefit for RAS/BRAF wt and left-sided mCRC needs further investigation.",
Identification of HER2-positive breast cancer molecular subtypes with potential clinical implications in the ALTTO clinical trial,"Mattia Rediti, David Venet, Andrea Joaquin Garcia, Marion Maetens, Delphine Vincent, Samira Majjaj, Sarra El-Abed, Serena Di Cosimo, Takayuki Ueno, Miguel Izquierdo, Martine Piccart, Lajos Pusztai, Sherene Loi, Roberto Salgado, Giuseppe Viale, Françoise Rothé, Christos Sotiriou",2024-11-29,"In HER2-positive breast cancer, clinical outcome and sensitivity to HER2-targeted therapies are influenced by both tumor and microenvironment features. However, we are currently unable to depict the molecular heterogeneity of this disease with sufficient granularity. Here, by performing gene expression profiling in HER2-positive breast cancers from patients receiving adjuvant trastuzumab in the ALTTO clinical trial (NCT00490139), we identify and characterize five molecular subtypes associated with the risk of distant recurrence: immune-enriched, proliferative/metabolic-enriched, mesenchymal/stroma-enriched, luminal, and ERBB2-dependent. Additionally, we validate the biological profiles of the subtypes and explore their prognostic/predictive value in external cohorts, namely the NeoALTTO trial (NCT00553358), SCAN-B (NCT02306096), I-SPY2 (NCT01042379), METABRIC and TCGA. Immune-enriched tumors present better survival outcomes, in contrast to mesenchymal/stroma-enriched and proliferative/metabolic-enriched tumors, while luminal and ERBB2-dependent tumors are characterized by low and high rates of pathological complete response, respectively. Of note, these molecular subtypes provide the rationale for treatment approaches leveraging the heterogeneous biology of HER2-positive breast cancer.",
Alternating modified CAPOX/CAPIRI plus bevacizumab in untreated unresectable metastatic colorectal cancer: a phase 2 trial,"Sheng Li, Xiaoyou Li, Hanfeng Xu, Jiayuan Huang, Jingni Zhu, Ying Peng, Jun Bao, Liangjun Zhu",2024-12-11,"Previous studies showed encouraging efficacy of alternating FOLFOX/FOLFIRI for metastatic colorectal cancer (mCRC). This phase 2 trial (NCT04324476) aimed to evaluate efficacy and safety of alternating modified CAPOX (capecitabine and oxaliplatin)/modified CAPIRI (capecitabine and irinotecan) plus bevacizumab (anti-VEGF-A antibody) in untreated unresectable mCRC. Induction treatment included capecitabine 1000 mg/m2 bid D2–8 and D16–22, oxaliplatin 85 mg/m2 D1, irinotecan 150 mg/m2 D15, and bevacizumab 5 mg/kg D1 and 15 for 28-day cycles (up to six cycles). Capecitabine 1000 mg/m2 bid D2–15 and bevacizumab 7.5 mg/kg D1 for 21-day cycles were used as maintenance treatment. 52 patients were included. Median follow-up was 25.0 months. Median progression-free survival (PFS; the primary endpoint) was 11.0 months (95% CI 9.0–12.4). Subgroup analyses showed patients with neutrophil-to-lymphocyte ratio<5 or RAS wild-type disease had longer PFS (both P < 0.05). Objective response and disease control were obtained in 38 (73%; 95% CI 59%–84%) and 49 (94%; 95% CI 84%–99%), respectively. Mean depth of response, conversion and no evidence of disease rates were 46.0% ± 26.3%, 23% and 19%, respectively. Median overall survival was 28.1 months (18.4–34.0). Grade 3–4 treatment-related adverse events (TRAE) occurred in 17 (33%) patients. No treatment-related death was reported. The most common grade 3–4 TRAE were hypertension (13 [25%]), neutrophil count decreased (three [6%]), and hand-foot syndrome (two [4%]). In addition, grade 3–4 TRAE of diarrhea reported in one [2%] patient and no grade 3–4 peripheral neuropathy occurred. Thus, alternating modified CAPOX/CAPIRI plus bevacizumab had promising efficacy and acceptable safety. The regimen may be a novel option for untreated unresectable mCRC.",
Entinostat in combination with nivolumab in metastatic pancreatic ductal adenocarcinoma: a phase 2 clinical trial,"Marina Baretti, Ludmila Danilova, Jennifer N. Durham, Courtney B. Betts, Leslie Cope, Dimitrios N. Sidiropoulos, Joseph A. Tandurella, Soren Charmsaz, Nicole Gross, Alexei Hernandez, Won Jin Ho, Chris Thoburn, Rosalind Walker, James Leatherman, Sarah Mitchell, Brian Christmas, Ali Saeed, Daria A. Gaykalova, Srinivasan Yegnasubramanian, Elana J. Fertig, Lisa M. Coussens, Mark Yarchoan, Elizabeth Jaffee, Nilofer S. Azad",2024-11-12,"Pancreatic ductal adenocarcinoma (PDA) is characterized by low cytotoxic lymphocytes, abundant immune-suppressive cells, and resistance to immune checkpoint inhibitors (ICI). Preclinical PDA models showed the HDAC inhibitor entinostat reduced myeloid cell immunosuppression, sensitizing tumors to ICI therapy. This phase II study combined entinostat with nivolumab (PD1 inhibitor) in patients with advanced PDA (NCT03250273). Patients received entinostat 5 mg orally once weekly for 14-day lead-in, followed by entinostat and nivolumab. The primary endpoint was the objective response rate (ORR) by RECIST v1.1. Secondary endpoints included safety, duration of response, progression free-survival and overall survival. Between November 2017 and November 2020, 27 evaluable patients were enrolled. Three showed partial responses (11% ORR, 95% CI, 2.4%-29.2%) with a median response duration of 10.2 months. Median progression-free survival (PFS) and overall survival (OS) were, respectively, 1.89 (95% CI, 1.381-2.301) and 2.729 (95% CI, 1.841-5.622) months. Grade ≥3 treatment-related adverse events occurred in 19 patients (63%), including decreased lymphocyte count, anemia, hypoalbuminemia, and hyponatremia. As exploratory analysis, peripheral and tumor immune profiles changes were assessed using CyTOF, mIHC, and RNA-seq. Entinostat increased dendritic cell activation and maturation. Gene expression analysis revealed an enrichment in inflammatory response pathways with combination treatment. Although the primary endpoint was not met, entinostat and nivolumab showed durable responses in a small subset of PDA patients. Myeloid cell immunomodulation supported the preclinical hypothesis, providing a basis for future combinatorial therapies to enhance clinical benefits in PDA.",
Perioperative Tislelizumab plus intensity modulated radiotherapy in resectable hepatocellular carcinoma with macrovascular invasion: a phase II trial,"Hongyu Pan, Liuyu Zhou, Zhuo Cheng, Jin Zhang, Ningjia Shen, Hongbin Ma, Yao Li, Riming Jin, Weiping Zhou, Dong Wu, Wen Sun, Ruoyu Wang",2024-10-29,"Hepatocellular carcinoma (HCC) patients with macrovascular invasion (MVI) have dismal prognosis and there are no standard perioperative therapies. This phase 2 trial (ChiCTR2000036385) aimed to investigate the activity and safety of perioperative tislelizumab plus intensity modulated radiotherapy (IMRT) for resectable HCC with MVI. Thirty treatment-naïve patients with MVI received 3 cycles of tislelizumab intravenously (200 mg, every three weeks) and concurrent IMRT (45 Gray in 15 fractions). Primary endpoints were the overall response rate (ORR) and overall survival (OS). Secondary endpoints were the proportion of patients with a complete or major pathological response (pCR or MPR), recurrence-free survival (RFS) and safety. Of patients enrolled, 15 (50%) underwent curative surgery followed by adjuvant tislelizumab. The ORR was 30.0% (90% CI 16.6%-46.5%) and the median OS was 18.7 months. Of the 15 patients underwent surgical resection, 10 (66.7%) achieved pCR or MPR and 8 (53.3%) remained recurrence-free. The median RFS were not reached with a median follow-up of 21.77 months (95% CI 12.50-31.03) post-surgery. 4 (13.3%) patients experienced grade 3 treatment-related adverse events. The most common events were thrombocytopenia, leukopenia, and anemia. The trial has met the pre-specified endpoints, and these results support further studies of perioperative immunotherapy plus radiotherapy in HCC.",
Cullin-5 deficiency promotes chimeric antigen receptor T cell effector functions potentially via the modulation of JAK/STAT signaling pathway,"Yoshitaka Adachi, Seitaro Terakura, Masahide Osaki, Yusuke Okuno, Yoshitaka Sato, Ken Sagou, Yuki Takeuchi, Hirofumi Yokota, Kanae Imai, Peter Steinberger, Judith Leitner, Ryo Hanajiri, Makoto Murata, Hitoshi Kiyoi",2024-12-10,"Chimeric antigen receptor (CAR) T cell is a promising therapy for cancer, but factors that enhance the efficacy of CAR T cell remain elusive. Here we perform a genome-wide CRISPR screening to probe genes that regulate the proliferation and survival of CAR T cells following repetitive antigen stimulations. We find that genetic ablation of CUL5, encoding a core element of the multi-protein E3 ubiquitin-protein ligase complex, cullin-RING ligase 5, enhances human CD19 CAR T cell expansion potential and effector functions, potentially via the Janus kinase/signal transducers and activators of transcription (JAK/STAT) pathway. In this regard, CUL5 knockout CD19 CAR T cells show sustained STAT3 and STAT5 phosphorylation, as well as delayed phosphorylation and degradation of JAK1 and JAK3. In vivo, shRNA-mediated knockdown of CUL5 enhances CD19 CAR T treatment outcomes in tumor-bearing mice. Our findings thus imply that targeting CUL5 in the ubiquitin system may enhance CAR T cell effector functions to enhance immunotherapy efficacy.",
Acid-exposed and hypoxic cancer cells do not overlap but are interdependent for unsaturated fatty acid resources,"Katarzyna Głowacka, Sébastien Ibanez, Ophélie Renoult, Perrine Vermonden, Maria Virginia Giolito, Kübra Özkan, Charline Degavre, Léo Aubert, Céline Guilbaud, Florine Laloux-Morris, Elena Richiardone, Jérôme Ambroise, Caroline Bouzin, Davide Brusa, Jonas Dehairs, Johan Swinnen, Cyril Corbet, Yvan Larondelle, Olivier Feron",2024-11-21,"Cancer cells in acidic tumor regions are aggressive and a key therapeutic target, but distinguishing between acid-exposed and hypoxic cells is challenging. Here, we use carbonic anhydrase 9 (CA9) antibodies to mark acidic areas in both hypoxic and respiring tumor areas, along with an HRE-GFP reporter for hypoxia, to isolate distinct cell populations from 3D tumor spheroids. Transcriptomic analysis of CA9-positive, hypoxia-negative cells highlights enriched fatty acid desaturase activity. Inhibiting or silencing stearoyl-CoA desaturase-1 (SCD1) induces ferroptosis in CA9-positive acidic cancer cells and delays mouse tumor growth, an effect enhanced by omega-3 fatty acid supplementation. Using acid-exposed cancer cells and patient-derived tumor organoids, we show that SCD1 inhibition increases acidic cancer cell reliance on external mono-unsaturated fatty acids, depriving hypoxic cells of essential resources. This bystander effect provides unbiased evidence for a lack of full overlap between hypoxic and acidic tumor compartments, highlighting a rationale for targeting desaturase activity in cancer.",
